epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2193.5,0.82757,5.86529,0.44453,0.66093,1.44507,0.98356,0.98095,0.98288,0.70155,0.25073,0.19672,0.10153,0.02062,1.12604,5.58199,0.32064,0.517,2.07442,0.000793437,0.000793437,0.000793437
41,2248.03,0.7927,5.67692,0.41691,0.63877,1.40535,0.98215,0.98361,0.98324,0.73134,0.32583,0.32787,0.17572,0.03062,0.96907,5.48117,0.36006,0.47906,1.83834,0.0007625,0.0007625,0.0007625
42,2302.65,0.78783,5.77496,0.43324,0.60465,1.34231,0.96769,1,0.99435,0.7557,0.35091,0.29508,0.16058,0.03744,0.90516,5.40448,0.36255,0.48081,1.66212,0.000731563,0.000731563,0.000731563
43,2356.8,0.77528,5.79245,0.42556,0.56999,1.32946,0.97781,1,0.99435,0.75224,0.33583,0.34426,0.18155,0.04417,0.87482,5.42602,0.33902,0.47872,1.67468,0.000700625,0.000700625,0.000700625
44,2411.18,0.74927,5.48316,0.41509,0.57481,1.33603,1,0.99242,0.995,0.76782,0.35426,0.28788,0.20283,0.05373,0.85078,5.37615,0.28715,0.46001,1.60142,0.000669688,0.000669688,0.000669688
45,2465.54,0.73576,5.4831,0.40845,0.5771,1.33215,0.96491,0.98361,0.9941,0.77033,0.25702,0.2623,0.14591,0.05229,0.85433,5.35513,0.33575,0.45306,1.62471,0.00063875,0.00063875,0.00063875
46,2520.14,0.72626,5.34912,0.40545,0.63216,1.34762,0.9836,0.98337,0.9942,0.759,0.27702,0.27869,0.16672,0.04566,0.96314,5.39163,0.32095,0.46595,1.77662,0.000607812,0.000607812,0.000607812
47,2574.39,0.74124,5.60401,0.41061,0.57619,1.30946,1,0.9959,0.995,0.7696,0.27315,0.19672,0.14629,0.03212,0.92839,5.65469,0.29121,0.45417,1.67837,0.000576875,0.000576875,0.000576875
48,2629.03,0.77271,5.48855,0.40944,0.57763,1.34415,0.98236,1,0.99452,0.78557,0.3212,0.32787,0.19732,0.05647,0.91412,5.26842,0.28186,0.44974,1.67314,0.000545937,0.000545937,0.000545937
49,2684.1,0.72513,5.53442,0.40364,0.55152,1.32872,0.98189,1,0.99484,0.78592,0.31226,0.32751,0.22149,0.05816,0.88736,5.35421,0.30974,0.44131,1.6692,0.000515,0.000515,0.000515
50,2738.87,0.70972,5.50826,0.42041,0.56651,1.32121,0.99736,1,0.995,0.79741,0.27858,0.27869,0.17216,0.04917,0.84286,5.34934,0.30644,0.43001,1.60834,0.000484063,0.000484063,0.000484063
51,2793.95,0.68949,5.29527,0.4098,0.5401,1.2907,0.99637,1,0.995,0.79856,0.24497,0.2459,0.15741,0.03932,0.8287,5.51175,0.30792,0.41958,1.59687,0.000453125,0.000453125,0.000453125
52,2848.65,0.69123,5.27417,0.40139,0.51932,1.2628,1,0.99943,0.995,0.796,0.38329,0.37705,0.31512,0.0835,0.82285,5.3292,0.26908,0.41345,1.56756,0.000422187,0.000422187,0.000422187
53,2903.11,0.75097,5.39755,0.40393,0.55472,1.33179,0.99427,1,0.995,0.80584,0.36075,0.39344,0.31019,0.08958,0.85798,5.21304,0.25709,0.43641,1.58763,0.00039125,0.00039125,0.00039125
54,2958.4,0.69202,5.13394,0.38966,0.53115,1.30149,0.99598,1,0.995,0.80915,0.33379,0.36066,0.27379,0.077,0.83813,5.27204,0.25181,0.42727,1.55104,0.000360313,0.000360313,0.000360313
55,3013.35,0.57059,5.28951,0.40962,0.56575,1.31092,1,0.99691,0.995,0.79379,0.21642,0.22951,0.16468,0.03601,0.86858,5.71637,0.26182,0.41328,1.6246,0.000329375,0.000329375,0.000329375
56,3068.11,0.61164,5.19833,0.31937,0.38974,1.34042,1,0.99462,0.995,0.76658,0.33287,0.34356,0.23524,0.0576,0.89611,5.31347,0.18853,0.41317,1.66568,0.000298438,0.000298438,0.000298438
57,3123,0.53242,5.17594,0.26963,0.36001,1.30585,0.99649,1,0.995,0.79343,0.34211,0.36066,0.22708,0.05883,0.83679,5.18821,0.16661,0.43011,1.54397,0.0002675,0.0002675,0.0002675
58,3177.61,0.57879,5.15152,0.27211,0.36445,1.34852,0.99714,0.98361,0.99468,0.76597,0.38671,0.42385,0.27091,0.06142,0.89806,5.17169,0.15556,0.4957,1.63702,0.000236562,0.000236562,0.000236562
59,3232.44,0.53134,5.04747,0.27017,0.31958,1.30596,1,0.97755,0.995,0.78977,0.42296,0.40857,0.23455,0.07462,0.83275,5.07507,0.1552,0.45843,1.56489,0.000205625,0.000205625,0.000205625
60,3287.06,0.52279,4.98367,0.23727,0.31344,1.31213,0.99216,1,0.995,0.79672,0.36839,0.39344,0.24564,0.0783,0.81712,5.00787,0.14725,0.40179,1.55492,0.000174688,0.000174688,0.000174688
61,3341.84,0.49462,4.79694,0.22758,0.28833,1.26643,1,0.99928,0.995,0.79221,0.36358,0.37705,0.24375,0.07227,0.83399,5.00486,0.14524,0.39414,1.57944,0.00014375,0.00014375,0.00014375
62,3396.91,0.48764,4.92376,0.23317,0.30021,1.21967,1,0.9979,0.995,0.81031,0.36817,0.39168,0.24133,0.0697,0.81739,5.01766,0.14335,0.40129,1.54614,0.000112812,0.000112812,0.000112812
63,3450.91,0.45097,4.81635,0.2213,0.28231,1.21156,0.99325,1,0.995,0.81365,0.38439,0.40945,0.26354,0.08496,0.82657,4.94186,0.13997,0.41085,1.54561,8.1875e-05,8.1875e-05,8.1875e-05
64,3504.72,0.45935,4.86456,0.2465,0.27905,1.22042,1,0.99879,0.995,0.80229,0.4475,0.44262,0.3075,0.09292,0.82491,4.9228,0.13723,0.40192,1.54937,5.09375e-05,5.09375e-05,5.09375e-05
